	p	t	Gene	degree	in-degree	out-degree	Bin_avg	Bin_std	Din_avg	Din_std	Bout_avg	Bout_std	Dout_avg	Dout_std	Bin_over_Din	Bin_over_Bout	Bin_over_Dout	Din_over_Bin	Din_over_Bout	Din_over_Dout	Bout_over_Bin	Bout_over_Din	Bout_over_Dout	Dout_over_Bin	Dout_over_Din	Dout_over_Bout
1974	0.1	5.0	AP2A1	12.0	0.0	12.0	0.986	0.11699999999999999	0.0	0.0	0.0	0.0	0.986	0.11800000000000001	0.986	0.986	0.986	0.0	0.0	0.0	0.0	0.0	0.0	0.986	0.986	0.986
1975	0.1	5.0	AP2B1	12.0	1.0	11.0	0.9890000000000001	0.105	0.0	0.0	0.057999999999999996	0.23399999999999999	0.9279999999999999	0.259	0.9890000000000001	0.9890000000000001	0.9890000000000001	0.0	0.0	0.0	0.057999999999999996	0.057999999999999996	0.057999999999999996	0.9279999999999999	0.9279999999999999	0.9279999999999999
1988	0.1	5.0	ARRB1	13.0	3.0	10.0	1.357	0.7929999999999999	0.0	0.0	0.0	0.0	1.082	0.45399999999999996	1.357	1.357	1.254158964879852	0.0	0.0	0.0	0.0	0.0	0.0	0.7973470891672808	1.082	1.082
2011	0.1	5.0	ATP6V1C1	14.0	6.0	8.0	1.311	1.262	0.0	0.0	0.073	0.26	1.455	1.6159999999999999	1.311	1.311	0.9010309278350516	0.0	0.0	0.0	0.055682684973302816	0.073	0.05017182130584192	1.1098398169336383	1.455	1.455
2012	0.1	5.0	ATP6V1C2	11.0	5.0	6.0	1.692	1.555	0.0	0.0	0.09300000000000001	0.29	1.442	1.4680000000000002	1.692	1.692	1.1733703190013869	0.0	0.0	0.0	0.0549645390070922	0.09300000000000001	0.06449375866851595	0.8522458628841607	1.442	1.442
2028	0.1	5.0	BCAR1	14.0	1.0	13.0	0.987	0.11199999999999999	0.0	0.0	0.042	0.2	0.9440000000000001	0.22899999999999998	0.987	0.987	0.987	0.0	0.0	0.0	0.042	0.042	0.042	0.9440000000000001	0.9440000000000001	0.9440000000000001
2031	0.1	5.0	BDKRB1	11.0	1.0	10.0	0.98	0.14	0.0	0.0	0.0	0.0	0.98	0.139	0.98	0.98	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.98	0.98
2032	0.1	5.0	BDKRB2	12.0	0.0	12.0	0.983	0.129	0.0	0.0	0.013999999999999999	0.115	0.973	0.162	0.983	0.983	0.983	0.0	0.0	0.0	0.013999999999999999	0.013999999999999999	0.013999999999999999	0.973	0.973	0.973
2035	0.1	5.0	BLNK	11.0	0.0	11.0	0.978	0.146	0.0	0.0	0.09300000000000001	0.29	0.889	0.314	0.978	0.978	0.978	0.0	0.0	0.0	0.09300000000000001	0.09300000000000001	0.09300000000000001	0.889	0.889	0.889
2052	0.1	5.0	CALM3	15.0	4.0	11.0	1.239	0.847	0.0	0.0	0.0	0.0	1.212	0.807	1.239	1.239	1.0222772277227723	0.0	0.0	0.0	0.0	0.0	0.0	0.9782082324455204	1.212	1.212
2064	0.1	5.0	CASP3	14.0	0.0	14.0	0.986	0.11900000000000001	0.0	0.0	0.09300000000000001	0.29100000000000004	0.893	0.309	0.986	0.986	0.986	0.0	0.0	0.0	0.09300000000000001	0.09300000000000001	0.09300000000000001	0.893	0.893	0.893
2073	0.1	5.0	CBL	14.0	4.0	10.0	1.131	0.665	0.0	0.0	0.0	0.0	1.216	0.8240000000000001	1.131	1.131	0.9300986842105264	0.0	0.0	0.0	0.0	0.0	0.0	1.075154730327144	1.216	1.216
2088	0.1	5.0	CCND1	12.0	0.0	12.0	0.986	0.12	0.0	0.0	0.0	0.0	0.985	0.12	0.986	0.986	0.986	0.0	0.0	0.0	0.0	0.0	0.0	0.985	0.985	0.985
2107	0.1	5.0	CD4	13.0	2.0	11.0	1.047	0.276	0.0	0.0	0.1	0.3	0.9	0.361	1.047	1.047	1.047	0.0	0.0	0.0	0.09551098376313276	0.1	0.1	0.8595988538681949	0.9	0.9
2166	0.1	5.0	CRK	11.0	2.0	9.0	1.038	0.275	0.0	0.0	0.017	0.128	1.1	0.396	1.038	1.038	0.9436363636363636	0.0	0.0	0.0	0.016377649325626204	0.017	0.015454545454545457	1.0597302504816957	1.1	1.1
2246	0.1	5.0	EP300	12.0	4.0	8.0	1.26	0.716	0.14	0.34700000000000003	0.326	0.799	1.14	0.632	1.26	1.26	1.1052631578947372	0.11111111111111112	0.14	0.12280701754385967	0.25873015873015875	0.326	0.2859649122807018	0.9047619047619048	1.14	1.14
2370	0.1	5.0	HSPA8	15.0	6.0	9.0	1.5090000000000001	1.368	0.132	0.33899999999999997	0.09300000000000001	0.29	1.3519999999999999	1.173	1.5090000000000001	1.5090000000000001	1.1161242603550294	0.0874751491053678	0.132	0.09763313609467457	0.06163021868787276	0.09300000000000001	0.0687869822485207	0.8959575878064945	1.3519999999999999	1.3519999999999999
2380	0.1	5.0	IKBKB	12.0	5.0	7.0	0.977	0.151	0.0	0.0	0.667	1.113	1.368	0.764	0.977	0.977	0.7141812865497076	0.0	0.0	0.0	0.667	0.667	0.4875730994152047	1.368	1.368	1.368
